Comment,Designator,Footprint,LCSC,Quantity
CN7,J104,PinHeader_2x10_P2.54mm_Vertical,C124359,1
Jumper_3_Bridged12,"JP101,JP102,JP103,JP105,JP106",PinHeader_1x03_P2.54mm_Vertical,C124376,5
100k,R301,R_0805_2012Metric,C149504,1
10n,"C106,C304,C305",C_0805_2012Metric,C1710,3
1k2,"R102,R302,R303",R_0805_2012Metric,C17379,3
10k,"R101,R105",R_0805_2012Metric,C17414,2
68k,R104,R_0805_2012Metric,C17801,1
0R1,R103,R_1206_3216Metric,C25334,1
CN10,J105,PinHeader_2x17_P2.54mm_Vertical,C2685134,1
TLV2372,U102,SOIC-8_3.9x4.9mm_P1.27mm,C27204,1
100n,"C108,C303",C_0805_2012Metric,C28233,2
10u,C105,CP_Elec_6.3x5.4,C29199,1
KBL406,D101,Diode_Bridge_Vishay_KBL,C3078,1
220u,C107,C_Elec_10x10.2,C3358,1
100u,C302,CP_Elec_6.3x5.4,C37308,1
5n6,C301,C_0805_2012Metric,C56078,1
CN9,J103,PinHeader_2x15_P2.54mm_Vertical,C56496,1
B340,D102,D_SMA,C64982,1
CN8,J102,PinHeader_2x08_P2.54mm_Vertical,C68234,1
1N4148W,"D301,D302",D_SOD-123,C81598,2
4m7,"C101,C102,C103,C104",CP_Radial_D18.0mm_P7.50mm,C92163,4
L6226,U301,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,C95357,1
Conn_01x03,"J101,J201",TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,C976557,2
Conn_01x06,J202,TerminalBlock_4Ucon_1x06_P3.50mm_Vertical,C976560,1
TPS5430DDA,U101,TI_SO-PowerPAD-8_ThermalVias,C9864,1
47u,L101,L_Ferrocore_DLG-0504,C9889,1
