Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,4m7,CP_Radial_D18.0mm_P7.50mm,-43.49,-6.31222,-90.0,top
C102,4m7,CP_Radial_D18.0mm_P7.50mm,-24.44,-6.31222,-90.0,top
C103,4m7,CP_Radial_D18.0mm_P7.50mm,-24.44,12.73778,-90.0,top
C104,4m7,CP_Radial_D18.0mm_P7.50mm,-43.49,12.73778,-90.0,top
C105,10u,CP_Elec_6.3x5.4,-54.92,-23.82,90.0,top
C106,10n,C_0805_2012Metric,-42.22,-27.945,-90.0,top
C107,220u,C_Elec_10x10.2,-25.075,-27.966,-90.0,top
C108,100n,C_0805_2012Metric,-51.364,28.5655,-90.0,top
C109,10n,C_0805_2012Metric,-51.364,24.44,-90.0,top
C110,10n,C_0805_2012Metric,-49.012,37.394,0.0,top
C301,5n6,C_0805_2012Metric,-36.632,29.266,180.0,top
C302,100u,CP_Elec_6.3x5.4,-17.455,26.212,-90.0,top
C303,100n,C_0805_2012Metric,-26.98,27.615,-90.0,top
C304,10n,C_0805_2012Metric,-19.36,32.695,180.0,top
C305,220n,C_0805_2012Metric,-31.425,31.425,0.0,top
D101,KBL406,Diode_Bridge_Vishay_KBL,-33.670523,-27.97,90.0,top
D102,B340,D_SMA,-40.315,-22.01,90.0,top
D103,B340,D_SMA,-55.46,-13.66,0.0,top
D104,gr,LED_0805_2012Metric,-13.772,-20.01,90.0,top
D105,red,LED_0805_2012Metric,-31.298,55.682,180.0,top
D106,yl,LED_0805_2012Metric,-31.298,52.126,180.0,top
D107,gr,LED_0805_2012Metric,-31.298,48.57,180.0,top
D301,1N4148W,D_SOD-123,-32.06,27.615,0.0,top
D302,1N4148W,D_SOD-123,-32.06,23.932,0.0,top
J101,Conn_01x03,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,-44.76,-35.705,0.0,top
J201,Conn_01x03,TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,-13.01,-35.705,0.0,top
J202,Conn_01x06,TerminalBlock_4Ucon_1x06_P3.50mm_Vertical,-45.438,55.682,0.0,top
JP101,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,-53.65,-33.98,90.0,top
JP102,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,-57.46,-33.98,90.0,top
JP103,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,-9.708,-20.264,270.0,top
JP105,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,-17.836,-20.279,270.0,top
JP106,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,-40.95,26.965,90.0,top
L101,47u,L_Ferrocore_DLG-0504,-47.32,-26.995,0.0,top
R101,10k,R_0805_2012Metric,-53.65,-16.835,180.0,top
R102,1k2,R_0805_2012Metric,-57.46,-16.835,180.0,top
R103,0R1,R_1206_3216Metric,-41.204,34.82325,90.0,top
R104,68k,R_0805_2012Metric,-49.078,33.076,0.0,top
R105,10k,R_0805_2012Metric,-45.522,33.1375,0.0,top
R106,10k,R_0805_2012Metric,-35.108,20.9875,90.0,top
R107,820,R_0805_2012Metric,-32.06,20.9875,90.0,top
R108,150,R_0805_2012Metric,-9.0495,-14.422,0.0,top
R109,150,R_0805_2012Metric,-40.0845,48.628,0.0,top
R110,150,R_0805_2012Metric,-40.0845,45.678,0.0,top
R111,150,R_0805_2012Metric,-40.0845,42.728,0.0,top
R112,68k,R_0805_2012Metric,-51.364,21.0345,90.0,top
R113,68k,R_0805_2012Metric,-49.078,35.362,0.0,top
R301,100k,R_0805_2012Metric,-36.632,25.964,180.0,top
R302,5k,R_0805_2012Metric,-16.058,33.584,-90.0,top
R303,5k,R_0805_2012Metric,-36.632,32.568,180.0,top
SW101,SW_DIP_x10,SW_DIP_SPSTx10_Slide_KingTek_DSHP10TS_W7.62mm_P1.27mm,-20.63,50.856,0.0,top
U101,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,-47.3,-19.375,180.0,top
U102,TLV2372,SOIC-8_3.9x4.9mm_P1.27mm,-46.538,27.0415,0.0,top
U301,L6226,UFQFPN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,-24.948,35.87,-90.0,top
