Comment,Designator,Footprint,LCSC,Quantity
Jumper_3_Bridged12,"JP1001,JP301,JP401,JP501,JP601,JP701,JP801,JP901",PinHeader_1x03_P2.54mm_Vertical,C124376,8
1k2,"R1002,R302,R402,R502,R602,R702,R802,R902",R_0805_2012Metric,C17379,8
120,"R1001,R301,R401,R501,R601,R701,R801,R901",R_0805_2012Metric,C17437,8
74HC373,U101,SO-20_5.3x12.6mm_P1.27mm,C22374060,1
100n,"C101,C102",C_0805_2012Metric,C28233,2
LED,"D1001,D301,D401,D501,D601,D701,D801,D901",CP_EIA-3528-12_Kemet-T,C5246350,8
74HC595,U102,SOIC-16W_5.3x10.2mm_P1.27mm,C5947,1
GAQY212G1S,"U1001,U301,U401,U501,U601,U701,U801,U901",SO-4_4.4x3.9mm_P2.54mm,C7435108,8
Conn_01x03,"J1101,J201",TerminalBlock_4Ucon_1x03_P3.50mm_Vertical,C976557,2
Conn_01x06,"J1102,J202",TerminalBlock_4Ucon_1x06_P3.50mm_Vertical,C976560,2
Conn_01x08,J101,TerminalBlock_4Ucon_1x08_P3.50mm_Vertical,C976562,1
